,survived,pclass,sex,age,sibsp,parch,fare,embarked,deck,FamilySize,isAlone
0,0,3,1,22.0,1,0,7.25,S,G,2,0
1,1,1,0,38.0,1,0,71.2833,C,C,2,0
2,1,3,0,26.0,0,0,7.925,S,E,1,1
3,1,1,0,35.0,1,0,53.1,S,C,2,0
4,0,3,1,35.0,0,0,8.05,S,E,1,1
5,0,3,1,29.869351032448375,0,0,8.4583,Q,G,1,1
6,0,1,1,54.0,0,0,51.8625,S,E,1,1
7,0,3,1,2.0,3,1,21.075,S,F,5,0
8,1,3,0,27.0,0,2,11.1333,S,E,3,0
9,1,2,0,14.0,1,0,30.0708,C,D,2,0
10,1,3,0,4.0,1,1,16.7,S,G,3,0
11,1,1,0,58.0,0,0,26.55,S,C,1,1
12,0,3,1,20.0,0,0,8.05,S,E,1,1
13,0,3,1,39.0,1,5,31.275,S,G,7,0
14,0,3,0,14.0,0,0,7.8542,S,E,1,1
15,1,2,0,55.0,0,0,16.0,S,D,1,1
16,0,3,1,2.0,4,1,29.125,Q,G,6,0
17,1,2,1,29.869351032448375,0,0,13.0,S,E,1,1
18,0,3,0,31.0,1,0,18.0,S,E,2,0
19,1,3,0,29.869351032448375,0,0,7.225,C,E,1,1
20,0,2,1,35.0,0,0,26.0,S,D,1,1
21,1,2,1,34.0,0,0,13.0,S,D,1,1
22,1,3,0,15.0,0,0,8.0292,Q,E,1,1
23,1,1,1,28.0,0,0,35.5,S,A,1,1
24,0,3,0,8.0,3,1,21.075,S,E,5,0
25,1,3,0,38.0,1,5,31.3875,S,G,7,0
26,0,3,1,29.869351032448375,0,0,7.225,C,G,1,1
27,0,1,1,19.0,3,2,263.0,S,C,6,0
28,1,3,0,29.869351032448375,0,0,7.8792,Q,E,1,1
29,0,3,1,29.869351032448375,0,0,7.8958,S,G,1,1
30,0,1,1,40.0,0,0,27.7208,C,A,1,1
31,1,1,0,29.869351032448375,1,0,146.5208,C,B,2,0
32,1,3,0,29.869351032448375,0,0,7.75,Q,G,1,1
33,0,2,1,66.0,0,0,10.5,S,E,1,1
34,0,1,1,28.0,1,0,82.1708,C,A,2,0
35,0,1,1,42.0,1,0,52.0,S,B,2,0
