,survived,pclass,sex,age,FamilySize,isAlone,embarked_C,embarked_Q,embarked_S,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,fare_log,sibsp_sqrt,parch_sqrt
0,0,3,1,22.0,2,0,False,False,True,False,False,False,False,False,False,True,2.1102132003465894,1.0,0.0
1,1,1,0,38.0,2,0,True,False,False,False,False,True,False,False,False,False,4.2805931204649,1.0,0.0
2,1,3,0,26.0,1,1,False,False,True,False,False,False,False,True,False,False,2.188856327665703,0.0,0.0
3,1,1,0,35.0,2,0,False,False,True,False,False,True,False,False,False,False,3.9908341858524357,1.0,0.0
4,0,3,1,35.0,1,1,False,False,True,False,False,False,False,True,False,False,2.2027647577118348,0.0,0.0
5,0,3,1,29.869351032448375,1,1,False,True,False,False,False,False,False,False,False,True,2.246892662898172,0.0,0.0
6,0,1,1,54.0,1,1,False,False,True,False,False,False,False,True,False,False,3.967694202798607,0.0,0.0
7,0,3,1,2.0,5,0,False,False,True,False,False,False,False,False,True,False,3.0944457464900235,1.5811388300841898,1.0
8,1,3,0,27.0,3,0,False,False,True,False,False,False,False,True,False,False,2.495953738718064,0.0,1.4142135623730951
9,1,2,0,14.0,2,0,True,False,False,False,False,False,True,False,False,False,3.436268471383741,1.0,0.0
10,1,3,0,4.0,3,0,False,False,True,False,False,False,False,False,False,True,2.8735646395797834,1.0,1.0
11,1,1,0,57.0,1,1,False,False,True,False,False,True,False,False,False,False,3.3160025355989236,0.0,0.0
12,0,3,1,20.0,1,1,False,False,True,False,False,False,False,True,False,False,2.2027647577118348,0.0,0.0
13,0,3,1,39.0,7,0,False,False,True,False,False,False,False,False,False,True,3.4742929367327062,1.0,1.5811388300841898
14,0,3,0,14.0,1,1,False,False,True,False,False,False,False,True,False,False,2.180891922715322,0.0,0.0
15,1,2,0,55.0,1,1,False,False,True,False,False,False,True,False,False,False,2.833213344056216,0.0,0.0
16,0,3,1,2.0,6,0,False,True,False,False,False,False,False,False,False,True,3.405355391810819,1.5811388300841898,1.0
17,1,2,1,29.869351032448375,1,1,False,False,True,False,False,False,False,True,False,False,2.6390573296152584,0.0,0.0
18,0,3,0,31.0,2,0,False,False,True,False,False,False,False,True,False,False,2.9444389791664403,1.0,0.0
19,1,3,0,29.869351032448375,1,1,True,False,False,False,False,False,False,True,False,False,2.1071782966514356,0.0,0.0
20,0,2,1,35.0,1,1,False,False,True,False,False,False,True,False,False,False,3.295836866004329,0.0,0.0
21,1,2,1,34.0,1,1,False,False,True,False,False,False,True,False,False,False,2.6390573296152584,0.0,0.0
22,1,3,0,15.0,1,1,False,True,False,False,False,False,False,True,False,False,2.2004637699272855,0.0,0.0
23,1,1,1,28.0,1,1,False,False,True,True,False,False,False,False,False,False,3.597312260588446,0.0,0.0
24,0,3,0,8.0,5,0,False,False,True,False,False,False,False,True,False,False,3.0944457464900235,1.5811388300841898,1.0
25,1,3,0,38.0,7,0,False,False,True,False,False,False,False,False,False,True,3.4777725458882283,1.0,1.5811388300841898
