,survived,pclass,sex,age,sibsp,parch,fare,FamilySize,isAlone,embarked_C,embarked_Q,embarked_S,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G
0,0,3,1,22.0,1,0,7.25,2,0,False,False,True,False,False,False,False,False,False,True
1,1,1,0,38.0,1,0,71.2833,2,0,True,False,False,False,False,True,False,False,False,False
2,1,3,0,26.0,0,0,7.925,1,1,False,False,True,False,False,False,False,True,False,False
3,1,1,0,35.0,1,0,53.1,2,0,False,False,True,False,False,True,False,False,False,False
4,0,3,1,35.0,0,0,8.05,1,1,False,False,True,False,False,False,False,True,False,False
5,0,3,1,29.869351032448375,0,0,8.4583,1,1,False,True,False,False,False,False,False,False,False,True
6,0,1,1,54.0,0,0,51.8625,1,1,False,False,True,False,False,False,False,True,False,False
7,0,3,1,2.0,3,1,21.075,5,0,False,False,True,False,False,False,False,False,True,False
8,1,3,0,27.0,0,2,11.1333,3,0,False,False,True,False,False,False,False,True,False,False
9,1,2,0,14.0,1,0,30.0708,2,0,True,False,False,False,False,False,True,False,False,False
10,1,3,0,4.0,1,1,16.7,3,0,False,False,True,False,False,False,False,False,False,True
11,1,1,0,58.0,0,0,26.55,1,1,False,False,True,False,False,True,False,False,False,False
12,0,3,1,20.0,0,0,8.05,1,1,False,False,True,False,False,False,False,True,False,False
13,0,3,1,39.0,1,5,31.275,7,0,False,False,True,False,False,False,False,False,False,True
14,0,3,0,14.0,0,0,7.8542,1,1,False,False,True,False,False,False,False,True,False,False
15,1,2,0,55.0,0,0,16.0,1,1,False,False,True,False,False,False,True,False,False,False
16,0,3,1,2.0,4,1,29.125,6,0,False,True,False,False,False,False,False,False,False,True
17,1,2,1,29.869351032448375,0,0,13.0,1,1,False,False,True,False,False,False,False,True,False,False
18,0,3,0,31.0,1,0,18.0,2,0,False,False,True,False,False,False,False,True,False,False
19,1,3,0,29.869351032448375,0,0,7.225,1,1,True,False,False,False,False,False,False,True,False,False
20,0,2,1,35.0,0,0,26.0,1,1,False,False,True,False,False,False,True,False,False,False
21,1,2,1,34.0,0,0,13.0,1,1,False,False,True,False,False,False,True,False,False,False
22,1,3,0,15.0,0,0,8.0292,1,1,False,True,False,False,False,False,False,True,False,False
23,1,1,1,28.0,0,0,35.5,1,1,False,False,True,True,False,False,False,False,False,False
24,0,3,0,8.0,3,1,21.075,5,0,False,False,True,False,False,False,False,True,False,False
25,1,3,0,38.0,1,5,31.3875,7,0,False,False,True,False,False,False,False,False,False,True
26,0,3,1,29.869351032448375,0,0,7.225,1,1,True,False,False,False,False,False,False,False,False,True
27,0,1,1,19.0,3,2,263.0,6,0,False,False,True,False,False,True,False,False,False,False
28,1,3,0,29.869351032448375,0,0,7.8792,1,1,False,True,False,False,False,False,False,True,False,False
29,0,3,1,29.869351032448375,0,0,7.8958,1,1,False,False,True,False,False,False,False,False,False,True
30,0,1,1,40.0,0,0,27.7208,1,1,True,False,False,True,False,False,False,False,False,False
31,1,1,0,29.869351032448375,1,0,146.5208,2,0,True,False,False,False,True,False,False,False,False,False
32,1,3,0,29.869351032448375,0,0,7.75,1,1,False,True,False,False,False,False,False,False,False,True
33,0,2,1,66.0,0,0,10.5,1,1,False,False,True,False,False,False,False,True,False,False
34,0,1,1,28.0,1,0,82.1708,2,0,True,False,False,True,False,False,False,False,False,False
35,0,1,1,42.0,1,0,52.0,2,0,False,False,True,False,True,False,False,False,False,False
36,1,3,1,29.869351032448375,0,0,7.2292,1,1,True,False,False,False,False,False,False,False,False,True
37,0,3,1,21.0,0,0,8.05,1,1,False,False,True,False,False,False,False,False,True,False
38,0,3,0,18.0,2,0,18.0,3,0,False,False,True,False,False,False,False,True,False,False
39,1,3,0,14.0,1,0,11.2417,2,0,True,False,False,False,False,False,False,True,False,False
40,0,3,0,40.0,1,0,9.475,2,0,False,False,True,False,False,False,False,False,False,True
41,0,2,0,27.0,1,0,21.0,2,0,False,False,True,False,False,False,False,True,False,False
42,0,3,1,29.869351032448375,0,0,7.8958,1,1,True,False,False,False,False,False,False,False,True,False
43,1,2,0,3.0,1,2,41.5792,4,0,True,False,False,False,False,False,False,True,False,False
44,1,3,0,19.0,0,0,7.8792,1,1,False,True,False,False,False,False,False,True,False,False
45,0,3,1,29.869351032448375,0,0,8.05,1,1,False,False,True,False,False,False,False,True,False,False
46,0,3,1,29.869351032448375,1,0,15.5,2,0,False,True,False,False,False,False,False,False,True,False
48,0,3,1,29.869351032448375,2,0,21.6792,3,0,True,False,False,False,False,False,False,True,False,False
49,0,3,0,18.0,1,0,17.8,2,0,False,False,True,False,False,False,False,True,False,False
50,0,3,1,7.0,4,1,39.6875,6,0,False,False,True,False,False,False,False,False,True,False
51,0,3,1,21.0,0,0,7.8,1,1,False,False,True,False,False,False,False,True,False,False
52,1,1,0,49.0,1,0,76.7292,2,0,True,False,False,False,False,False,True,False,False,False
53,1,2,0,29.0,1,0,26.0,2,0,False,False,True,False,False,False,False,True,False,False
54,0,1,1,65.0,0,1,61.9792,2,0,True,False,False,False,True,False,False,False,False,False
55,1,1,1,29.869351032448375,0,0,35.5,1,1,False,False,True,False,False,True,False,False,False,False
